Benzene,eq_ratio,X,Y,Temperature
0.0,1.1,15,150,1306.740875
0.0,1.1,20,150,1256.65736266667
0.0,1.1,30,150,1105.4473
0.0,1.1,40,150,994.288833333334
0.0,1.1,60,150,939.525922988506
0.0,1.1,100,150,936.47805
0.0,1.1,0,200,1325.25883
0.0,1.1,10,200,1291.31303333333
0.0,1.1,15,200,1254.17571904762
0.0,1.1,20,200,1211.57535384615
0.0,1.1,30,200,1121.25056666667
0.0,1.1,40,200,1026.22044210526
0.0,1.1,60,200,947.836999122807
0.0,1.1,100,200,939.282976
0.0,1.1,0,250,1263.72955555556
0.0,1.1,10,250,1237.50708333333
0.0,1.1,15,250,1212.88039487179
0.0,1.1,20,250,1179.20646666667
0.0,1.1,30,250,1128.98584320988
0.0,1.1,40,250,1056.02343989899
0.0,1.1,60,250,968.464530769231
0.0,1.1,100,250,943.440883333333
0.0,1.1,0,300,1220.76295555556
0.0,1.1,10,300,1200.25636296296
0.0,1.1,15,300,1178.65436666667
0.0,1.1,20,300,1161.0481
0.0,1.1,30,300,1129.20476666667
0.0,1.1,40,300,1075.34434285714
0.0,1.1,60,300,993.175275384615
0.0,1.1,100,300,950.729265432099
0.0,1.1,0,400,1152.42578205128
0.0,1.1,10,400,1139.37979259259
0.0,1.1,15,400,1128.3957037037
0.0,1.1,20,400,1116.94802592593
0.0,1.1,30,400,1102.09676666667
0.0,1.1,40,400,1066.86747826087
0.0,1.1,60,400,1028.15054848485
0.0,1.1,100,400,961.800913580247
0.0,1.1,0,500,1111.90224285714
0.0,1.1,10,500,1100.86719444444
0.0,1.1,15,500,1096.18138333333
0.0,1.1,20,500,1087.92085365854
0.0,1.1,30,500,1072.63628181818
0.0,1.1,40,500,1051.75621666667
0.0,1.1,60,500,1015.03639166667
0.0,1.1,100,500,973.029898148148
0.0,1.2,0,70,1550.2832
0.0,1.2,10,70,1437.77671666667
0.0,1.2,15,70,1334.16980392157
0.0,1.2,20,70,1211.33396666667
0.0,1.2,30,70,980.7695625
0.0,1.2,40,70,890.9308
0.0,1.2,60,70,889.029933333333
0.0,1.2,100,70,883.938276190476
0.0,1.2,0,80,1527.472
0.0,1.2,10,80,1428.92203333333
0.0,1.2,15,80,1324.62371666667
0.0,1.2,20,80,1215.9486
0.0,1.2,30,80,988.092
0.0,1.2,40,80,896.291316666667
0.0,1.2,60,80,888.462133333333
0.0,1.2,100,80,901.789333333333
0.0,1.2,0,100,1466.4708
0.0,1.2,10,100,1368.15501111111
0.0,1.2,15,100,1292.42156666667
0.0,1.2,20,100,1197.26841025641
0.0,1.2,30,100,1011.20577777778
0.0,1.2,40,100,911.760035416667
0.0,1.2,60,100,898.210486666666
0.0,1.2,100,100,898.779465079365
0.0,1.2,0,150,1341.91843333333
0.0,1.2,10,150,1287.7761
0.0,1.2,15,150,1228.03550454545
0.0,1.2,20,150,1176.97923333333
0.0,1.2,30,150,1050.98630625
0.0,1.2,40,150,955.85011025641
0.0,1.2,60,150,899.804083333333
0.0,1.2,100,150,895.845391666667
0.0,1.2,0,200,1254.34816666667
0.0,1.2,10,200,1222.39636
0.0,1.2,15,200,1190.593
0.0,1.2,20,200,1152.94017857143
0.0,1.2,30,200,1062.12601111111
0.0,1.2,40,200,986.411795454546
0.0,1.2,60,200,903.923849019608
0.0,1.2,100,200,898.114011904762
0.0,1.2,0,250,1198.3954
0.0,1.2,10,250,1175.86518888889
0.0,1.2,15,250,1147.06273913043
0.0,1.2,20,250,1129.48114285714
0.0,1.2,30,250,1069.84355555556
0.0,1.2,40,250,1014.70355
0.0,1.2,60,250,927.781497777778
0.0,1.2,100,250,903.919877083333
